representation,algorithm,k,seed,silhouette,ari,nmi,coherence
TF-IDF,K-means,3,42,0.03390827353585202,0.3043465221790632,0.2984307506851451,0.6587717306224808
TF-IDF,K-means,3,123,0.03390860186514635,0.3046515137000547,0.29869084133664126,0.6587717306224808
TF-IDF,K-means,3,456,0.03391037394267046,0.30444247972733596,0.2984356719901445,0.6587717306224808
TF-IDF,K-means,3,789,0.033907730686515196,0.3047655785217436,0.29877340507546857,0.6587717306224808
TF-IDF,K-means,5,42,0.03811284838683228,0.2553454883771495,0.2582638782910464,0.7604508420736898
TF-IDF,K-means,5,123,0.03810831364074272,0.2551400089854022,0.25834222965920706,0.7604508420736898
TF-IDF,K-means,5,456,0.03812005274351223,0.2552976172076353,0.25844621144847996,0.7604508420736898
TF-IDF,K-means,5,789,0.038121076710402255,0.25515246856685764,0.2584264147344526,0.7604508420736898
TF-IDF,K-means,7,42,0.032963650283772,0.22255139887712344,0.30556448793651203,0.7438045131408078
TF-IDF,K-means,7,123,0.03306871101563459,0.22228750844374492,0.30531837031152914,0.7418660778349998
TF-IDF,K-means,7,456,0.03602554608019338,0.29542807353012934,0.3653525242766096,0.7401499219513504
TF-IDF,K-means,7,789,0.03460496709357581,0.2213205766375728,0.3077860575798139,0.7588924676859585
TF-IDF,K-means,10,42,0.034844588218589684,0.18278263016193697,0.318746068008736,0.7321256243288364
TF-IDF,K-means,10,123,0.03448955181338034,0.1654746704755357,0.309147943851943,0.7387652638965572
TF-IDF,K-means,10,456,0.03445991178178025,0.1625572233369408,0.3061376515792423,0.7387652638965572
TF-IDF,K-means,10,789,0.03458307920425483,0.18971317593743534,0.30608229435173,0.721400835710782
TF-IDF,K-means,15,42,0.030480287358109603,0.13508173661186226,0.30263499158778284,0.7335907046639938
TF-IDF,K-means,15,123,0.03069497607306886,0.1321109937838855,0.3019101863114624,0.7601671621779941
TF-IDF,K-means,15,456,0.035758805477470505,0.1415784371500464,0.3198303179275462,0.7405556459939491
TF-IDF,K-means,15,789,0.03268746901766899,0.11341882519162962,0.2925666974992061,0.7398270151932582
Embeddings,K-means,3,42,0.12235705554485321,0.2736269500416321,0.2726491164699065,0.6257935504125206
Embeddings,K-means,3,123,0.12235920876264572,0.273579875481492,0.2726588557959218,0.6257935504125204
Embeddings,K-means,3,456,0.12235666066408157,0.2735980862846652,0.27259481362870913,0.6257935504125206
Embeddings,K-means,3,789,0.12235920876264572,0.273579875481492,0.2726588557959218,0.6257935504125205
Embeddings,K-means,5,42,0.12144004553556442,0.19822205889466055,0.20663399603799823,0.7304140726457691
Embeddings,K-means,5,123,0.12144004553556442,0.19822205889466055,0.20663399603799823,0.7304140726457692
Embeddings,K-means,5,456,0.12143514305353165,0.19861679963089224,0.20701394786572705,0.7304140726457691
Embeddings,K-means,5,789,0.12144004553556442,0.19822205889466055,0.20663399603799817,0.7304140726457692
Embeddings,K-means,7,42,0.08082536607980728,0.20510610619629904,0.31619761552893044,0.7557800245058818
Embeddings,K-means,7,123,0.08081109076738358,0.20517128391154296,0.3162708881259655,0.7557800245058818
Embeddings,K-means,7,456,0.08081109076738358,0.20517128391154296,0.3162708881259655,0.7557800245058817
Embeddings,K-means,7,789,0.08080166578292847,0.20512320893939348,0.3162056987913234,0.7557800245058817
Embeddings,K-means,10,42,0.08602263778448105,0.16533759275961699,0.3067751082569882,0.7330033757348786
Embeddings,K-means,10,123,0.0860762745141983,0.16729601076359757,0.3077599665956314,0.7310540497249165
Embeddings,K-means,10,456,0.08615083247423172,0.16746135339346882,0.3071866150356152,0.7313948403094452
Embeddings,K-means,10,789,0.08616890013217926,0.1674688390056395,0.30720257049003724,0.7313948403094453
Embeddings,K-means,15,42,0.08590033650398254,0.12215655096627276,0.29157917563189645,0.7187406698377234
Embeddings,K-means,15,123,0.0828881710767746,0.12219288132138743,0.2956719401877949,0.7214448006910602
Embeddings,K-means,15,456,0.08300641179084778,0.12214467653713434,0.295199147683777,0.7214448006910603
Embeddings,K-means,15,789,0.08578184247016907,0.1197426625108598,0.2930776547144049,0.7250841534780044
TF-IDF,HAC,3,,0.08577777229005366,0.24289639540968624,0.22171841856164456,0.6630962672371569
TF-IDF,HAC,5,,0.10552836973608255,0.2722096905458423,0.29248340672125345,0.7279776510825231
TF-IDF,HAC,7,,0.10941832445695605,0.26922553820349093,0.3253890726013903,0.7491783573622147
TF-IDF,HAC,10,,0.1037905111239501,0.18502071416055857,0.3045681320841336,0.7353094003241423
TF-IDF,HAC,15,,0.09930572114925394,0.1627019831082585,0.3212376713507177,0.7257904566860073
Embeddings,HAC,3,,0.11551427096128464,0.25890399441868456,0.25385511918818554,0.6301180870271965
Embeddings,HAC,5,,0.09698711335659027,0.23540700034553366,0.2518683251829514,0.7510608558199358
Embeddings,HAC,7,,0.05894188955426216,0.21301940814810127,0.30131926500564177,0.7632063972717547
Embeddings,HAC,10,,0.06153016537427902,0.17403586700928653,0.3116072520879716,0.7551338488004296
Embeddings,HAC,15,,0.05635390803217888,0.12232316988786669,0.2860525808651502,0.707393399905439
