,representation,algorithm,k,seed,silhouette,ari,nmi,coherence
0,TF-IDF,HAC,3,,0.08577777229005366,0.24289639540968624,0.22171841856164456,0.6630962672371569
1,TF-IDF,HAC,5,,0.10552836973608255,0.2722096905458423,0.29248340672125345,0.7279776510825231
2,TF-IDF,HAC,7,,0.10941832445695605,0.26922553820349093,0.3253890726013903,0.7491783573622147
3,TF-IDF,HAC,10,,0.1037905111239501,0.18502071416055857,0.3045681320841336,0.7353094003241423
4,TF-IDF,HAC,15,,0.09930572114925394,0.1627019831082585,0.3212376713507177,0.7257904566860073
5,Embeddings,HAC,3,,0.11551427096128464,0.25890399441868456,0.25385511918818554,0.6301180870271965
6,Embeddings,HAC,5,,0.09698711335659027,0.23540700034553366,0.2518683251829514,0.7510608558199358
7,Embeddings,HAC,7,,0.05894188955426216,0.21301940814810127,0.30131926500564177,0.7632063972717547
8,Embeddings,HAC,10,,0.06153016537427902,0.17403586700928653,0.3116072520879716,0.7551338488004296
9,Embeddings,HAC,15,,0.05635390803217888,0.12232316988786669,0.2860525808651502,0.707393399905439
