,representation,algorithm,k,seed,silhouette,ari,nmi,coherence
0,TF-IDF,K-means,3,42,0.03390827353585202,0.3043465221790632,0.2984307506851451,0.6587717306224808
1,TF-IDF,K-means,3,123,0.03390860186514635,0.3046515137000547,0.29869084133664126,0.6587717306224808
2,TF-IDF,K-means,3,456,0.03391037394267046,0.30444247972733596,0.2984356719901445,0.6587717306224808
3,TF-IDF,K-means,3,789,0.033907730686515196,0.3047655785217436,0.29877340507546857,0.6587717306224808
4,TF-IDF,K-means,5,42,0.03811284838683228,0.2553454883771495,0.2582638782910464,0.7604508420736898
5,TF-IDF,K-means,5,123,0.03810831364074272,0.2551400089854022,0.25834222965920706,0.7604508420736898
6,TF-IDF,K-means,5,456,0.03812005274351223,0.2552976172076353,0.25844621144847996,0.7604508420736898
7,TF-IDF,K-means,5,789,0.038121076710402255,0.25515246856685764,0.2584264147344526,0.7604508420736898
8,TF-IDF,K-means,7,42,0.032963650283772,0.22255139887712344,0.30556448793651203,0.7438045131408078
9,TF-IDF,K-means,7,123,0.03306871101563459,0.22228750844374492,0.30531837031152914,0.7418660778349998
10,TF-IDF,K-means,7,456,0.03602554608019338,0.29542807353012934,0.3653525242766096,0.7401499219513504
11,TF-IDF,K-means,7,789,0.03460496709357581,0.2213205766375728,0.3077860575798139,0.7588924676859585
12,TF-IDF,K-means,10,42,0.034844588218589684,0.18278263016193697,0.318746068008736,0.7321256243288364
13,TF-IDF,K-means,10,123,0.03448955181338034,0.1654746704755357,0.309147943851943,0.7387652638965572
14,TF-IDF,K-means,10,456,0.03445991178178025,0.1625572233369408,0.3061376515792423,0.7387652638965572
15,TF-IDF,K-means,10,789,0.03458307920425483,0.18971317593743534,0.30608229435173,0.721400835710782
16,TF-IDF,K-means,15,42,0.030480287358109603,0.13508173661186226,0.30263499158778284,0.7335907046639938
17,TF-IDF,K-means,15,123,0.03069497607306886,0.1321109937838855,0.3019101863114624,0.7601671621779941
18,TF-IDF,K-means,15,456,0.035758805477470505,0.1415784371500464,0.3198303179275462,0.7405556459939491
19,TF-IDF,K-means,15,789,0.03268746901766899,0.11341882519162962,0.2925666974992061,0.7398270151932582
20,Embeddings,K-means,3,42,0.12235705554485321,0.2736269500416321,0.2726491164699065,0.6257935504125206
21,Embeddings,K-means,3,123,0.12235920876264572,0.273579875481492,0.2726588557959218,0.6257935504125204
22,Embeddings,K-means,3,456,0.12235666066408157,0.2735980862846652,0.27259481362870913,0.6257935504125206
23,Embeddings,K-means,3,789,0.12235920876264572,0.273579875481492,0.2726588557959218,0.6257935504125205
24,Embeddings,K-means,5,42,0.12144004553556442,0.19822205889466055,0.20663399603799823,0.7304140726457691
25,Embeddings,K-means,5,123,0.12144004553556442,0.19822205889466055,0.20663399603799823,0.7304140726457692
26,Embeddings,K-means,5,456,0.12143514305353165,0.19861679963089224,0.20701394786572705,0.7304140726457691
27,Embeddings,K-means,5,789,0.12144004553556442,0.19822205889466055,0.20663399603799817,0.7304140726457692
28,Embeddings,K-means,7,42,0.08082536607980728,0.20510610619629904,0.31619761552893044,0.7557800245058818
29,Embeddings,K-means,7,123,0.08081109076738358,0.20517128391154296,0.3162708881259655,0.7557800245058818
30,Embeddings,K-means,7,456,0.08081109076738358,0.20517128391154296,0.3162708881259655,0.7557800245058817
31,Embeddings,K-means,7,789,0.08080166578292847,0.20512320893939348,0.3162056987913234,0.7557800245058817
32,Embeddings,K-means,10,42,0.08602263778448105,0.16533759275961699,0.3067751082569882,0.7330033757348786
33,Embeddings,K-means,10,123,0.0860762745141983,0.16729601076359757,0.3077599665956314,0.7310540497249165
34,Embeddings,K-means,10,456,0.08615083247423172,0.16746135339346882,0.3071866150356152,0.7313948403094452
35,Embeddings,K-means,10,789,0.08616890013217926,0.1674688390056395,0.30720257049003724,0.7313948403094453
36,Embeddings,K-means,15,42,0.08590033650398254,0.12215655096627276,0.29157917563189645,0.7187406698377234
37,Embeddings,K-means,15,123,0.0828881710767746,0.12219288132138743,0.2956719401877949,0.7214448006910602
38,Embeddings,K-means,15,456,0.08300641179084778,0.12214467653713434,0.295199147683777,0.7214448006910603
39,Embeddings,K-means,15,789,0.08578184247016907,0.1197426625108598,0.2930776547144049,0.7250841534780044
