k,seed,silhouette,ARI,NMI,coherence,inertia,stability
3,42,0.0546,0.295,0.2905,0.7095,25292.89,0.9982
3,123,0.0546,0.2948,0.29,0.7095,25292.89,0.9982
3,456,0.0546,0.2953,0.2903,0.7095,25292.89,0.9982
3,789,0.0546,0.2947,0.2898,0.7095,25292.89,0.9982
5,42,0.0604,0.2469,0.2456,0.7737,24690.27,0.9966
5,123,0.0604,0.2465,0.2449,0.7737,24690.27,0.9966
5,456,0.0604,0.2469,0.2457,0.7737,24690.27,0.9966
5,789,0.0605,0.2462,0.2445,0.7737,24690.29,0.9966
7,42,0.0594,0.25,0.2817,0.7366,24318.22,0.7678
7,123,0.0518,0.186,0.2855,0.7547,24321.88,0.7678
7,456,0.0545,0.2885,0.3506,0.755,24313.1,0.7678
7,789,0.0544,0.2895,0.3523,0.755,24313.09,0.7678
10,42,0.0514,0.143,0.2962,0.7185,23918.63,0.7237
10,123,0.0552,0.151,0.2785,0.7304,23884.1,0.7237
10,456,0.056,0.1774,0.3061,0.7353,23891.98,0.7237
10,789,0.0553,0.1522,0.2807,0.7265,23884.09,0.7237
15,42,0.0484,0.1326,0.315,0.7367,23492.1,0.7825
15,123,0.0491,0.1078,0.2837,0.7379,23476.07,0.7825
15,456,0.0517,0.1049,0.276,0.7312,23471.18,0.7825
15,789,0.0511,0.1084,0.2747,0.732,23489.66,0.7825
