k,seed,silhouette,ARI,NMI,coherence,inertia,stability
1,42,0.0,0.0,0.0,0.0,26403.29,1.0
2,42,0.0424,0.0023,0.0008,0.6457,25799.02,
3,42,0.0546,0.295,0.2905,0.7095,25292.89,
4,42,0.0602,0.2925,0.2922,0.7626,24937.18,
5,42,0.0604,0.2469,0.2456,0.7737,24690.27,
6,42,0.0555,0.279,0.3176,0.767,24477.09,
7,42,0.0594,0.25,0.2817,0.7366,24318.22,
8,42,0.0518,0.2283,0.3338,0.7598,24162.1,
9,42,0.0575,0.2113,0.3054,0.7379,24007.48,
10,42,0.0514,0.143,0.2962,0.7185,23918.63,
11,42,0.0539,0.1335,0.2795,0.7105,23788.45,
12,42,0.0512,0.1277,0.2768,0.7192,23702.87,
13,42,0.0502,0.1155,0.2745,0.7162,23645.29,
14,42,0.0498,0.1226,0.2935,0.7383,23556.77,
15,42,0.0484,0.1326,0.315,0.7367,23492.1,
16,42,0.0448,0.1007,0.2785,0.7319,23423.75,
17,42,0.0433,0.0944,0.2694,0.7255,23366.98,
18,42,0.0529,0.0997,0.2874,0.7115,23305.03,
19,42,0.0453,0.0966,0.2913,0.7234,23240.67,
20,42,0.0482,0.0853,0.2726,0.7126,23199.32,
21,42,0.0422,0.0977,0.2988,0.7217,23142.69,
22,42,0.0428,0.0875,0.2851,0.7126,23090.88,
23,42,0.0368,0.0728,0.2713,0.7139,23049.2,
24,42,0.0452,0.0812,0.2712,0.7038,23024.86,
25,42,0.0375,0.0779,0.2862,0.7116,22973.42,
