k,Representation,Silhouette,ARI,NMI
5,TF-IDF,0.0381,0.2553,0.2583
5,Sentence Embeddings,0.12139999866485596,0.1982,0.2066
5,Word2Vec,0.25949999690055847,0.3315,0.3766
6,TF-IDF,0.0363,0.2856,0.3293
6,Sentence Embeddings,0.10700000077486038,0.1691,0.2451
6,Word2Vec,0.1915999948978424,0.2481,0.3434
10,TF-IDF,0.0348,0.1828,0.3187
10,Sentence Embeddings,0.0860000029206276,0.1653,0.3068
10,Word2Vec,0.1834000051021576,0.2007,0.3686
15,TF-IDF,0.0305,0.1351,0.3026
15,Sentence Embeddings,0.08020000159740448,0.1174,0.2909
15,Word2Vec,0.14910000562667847,0.1455,0.3332
