k,seed,silhouette,ARI,NMI,coherence,stability_ARI
5,42,0.0381,0.2553,0.2583,0.7605,0.9973
5,7,0.0381,0.2553,0.2581,0.7605,0.9973
5,123,0.0381,0.2551,0.2583,0.7605,0.9973
5,0,0.0381,0.2552,0.2585,0.7605,0.9973
5,99,0.0381,0.2555,0.2587,0.7605,0.9973
6,42,0.0363,0.2856,0.3293,0.7623,0.8899
6,7,0.0363,0.2859,0.3295,0.7623,0.8899
6,123,0.0356,0.1896,0.2412,0.7604,0.8899
6,0,0.0363,0.2861,0.3301,0.7623,0.8899
6,99,0.0363,0.2863,0.3303,0.7623,0.8899
10,42,0.0348,0.1828,0.3187,0.7321,0.7621
10,7,0.0372,0.1606,0.2956,0.723,0.7621
10,123,0.0345,0.1655,0.3091,0.7388,0.7621
10,0,0.0351,0.1823,0.3177,0.7321,0.7621
10,99,0.0351,0.1826,0.3169,0.7321,0.7621
15,42,0.0305,0.1351,0.3026,0.7336,0.8202
15,7,0.0333,0.1084,0.2754,0.7256,0.8202
15,123,0.0307,0.1321,0.3019,0.7602,0.8202
15,0,0.0351,0.1251,0.2968,0.7453,0.8202
15,99,0.0328,0.1313,0.3005,0.7454,0.8202
